,neighbourhood_name,area,sites,site_density
74,Agincourt North ,7.262055738771231,0,0.0
73,Woodbine-Lumsden ,1.1962477571661467,0,0.0
68,Willowdale East ,5.061057907388849,0,0.0
67,Wexford/Maryvale ,10.264126560268963,0,0.0
66,Weston-Pellam Park ,1.4605839667743052,0,0.0
65,Weston ,2.5656208765298247,0,0.0
64,Westminster-Branson ,3.667796825798208,0,0.0
63,West Humber-Clairville ,30.14517780330228,0,0.0
62,West Hill ,9.625491244716903,0,0.0
59,University ,1.4052212321393827,0,0.0
58,Trinity-Bellwoods ,1.729620873184749,0,0.0
56,Thistletown-Beaumond Heights ,3.3395517355159825,0,0.0
55,The Beaches ,3.5957822827867543,0,0.0
54,Taylor-Massey ,1.062937409132982,0,0.0
53,Tam O'Shanter-Sullivan ,5.422345610312795,0,0.0
52,Stonegate-Queensway ,7.945942766694312,0,0.0
51,Steeles ,4.561325223192176,0,0.0
50,St.Andrew-Windfields ,7.299749353510039,0,0.0
47,Scarborough Village ,3.1510858675270454,0,0.0
46,Rustic ,2.096378073609306,0,0.0
45,Runnymede-Bloor West Village ,1.593949045304675,0,0.0
44,Rouge ,37.53469146048739,0,0.0
43,Rosedale-Moore Park ,4.6688939646584116,0,0.0
42,Roncesvalles ,1.504504522649482,0,0.0
41,Rockcliffe-Smythe ,5.070712078496527,0,0.0
139,L'Amoreaux ,7.1547926922939515,0,0.0
