address,price,link,bedrooms,bathrooms
"125 Maplewood Ave, Toronto, ON M6C 1J7",$2.31M,https://www.zillow.com/homedetails/125-Maplewood-Ave-Toronto-ON-M6C-1J7/2058450081_zpid/,--,--
"53 Amberjack Blvd, Toronto, ON M1H 2J4",$1.19M,https://www.zillow.com/homedetails/53-Amberjack-Blvd-Toronto-ON-M1H-2J4/2060844830_zpid/,--,--
"170 Manse Rd, Toronto, ON M1E 3V1",$1.42M,https://www.zillow.com/homedetails/170-Manse-Rd-Toronto-ON-M1E-3V1/2058474833_zpid/,--,--
"20 Blue Jays Way #606, Toronto, ON M5V 3W6","C$875,000",https://www.zillow.com/homedetails/20-Blue-Jays-Way-606-Toronto-ON-M5V-3W6/2060697689_zpid/,--,--
"575 Bloor St E #3402, Toronto, ON M4W 0B2",$1.35M,https://www.zillow.com/homedetails/575-Bloor-St-E-3402-Toronto-ON-M4W-0B2/2060332815_zpid/,--,--
"57 Saint Joseph St #2004, Toronto, ON M5S 0C5","C$545,000",https://www.zillow.com/homedetails/57-Saint-Joseph-St-2004-Toronto-ON-M5S-0C5/2060329412_zpid/,--,--
"251 Manitoba St #1123, Toronto, ON M8Y 0C7",$--,https://www.zillow.com/homedetails/251-Manitoba-St-1123-Toronto-ON-M8Y-0C7/2065558676_zpid/,--,--
"169 Fort York Blvd #518, Toronto, ON M5V 0C8","C$500,000",https://www.zillow.com/homedetails/169-Fort-York-Blvd-518-Toronto-ON-M5V-0C8/2072237245_zpid/,1,1
"170 Bayview Ave #703, Toronto, ON M5A 0M4","C$478,500",https://www.zillow.com/homedetails/170-Bayview-Ave-703-Toronto-ON-M5A-0M4/2060617384_zpid/,--,--
"5580 Sheppard Ave E #906, Toronto, ON M1B 2L3","C$490,000",https://www.zillow.com/homedetails/5580-Sheppard-Ave-E-906-Toronto-ON-M1B-2L3/2061171534_zpid/,--,--
"20 Gladstone Ave UNIT 201, Toronto, ON M6J 0E9","C$682,000",https://www.zillow.com/homedetails/20-Gladstone-Ave-UNIT-201-Toronto-ON-M6J-0E9/2060714494_zpid/,--,--
"20 Minowan Miikan Ln, Toronto, ON M6J 0E5",$--,https://www.zillow.com/homedetails/20-Minowan-Miikan-Ln-Toronto-ON-M6J-0E5/2079631255_zpid/,1,1
"65 Allangrove Cres, Toronto, ON M1W 1S4",$1.38M,https://www.zillow.com/homedetails/65-Allangrove-Cres-Toronto-ON-M1W-1S4/2061345484_zpid/,--,--
"223 Downsview Park Blvd, Toronto, ON M3K 0A5",$1.17M,https://www.zillow.com/homedetails/223-Downsview-Park-Blvd-Toronto-ON-M3K-0A5/2061308242_zpid/,--,--
"181 Wineva Ave, Toronto, ON M4E 2T5",$1.85M,https://www.zillow.com/homedetails/181-Wineva-Ave-Toronto-ON-M4E-2T5/2061324716_zpid/,--,--
"20 Lytton Blvd, Toronto, ON M4R 1L1",$3.64M,https://www.zillow.com/homedetails/20-Lytton-Blvd-Toronto-ON-M4R-1L1/2061324723_zpid/,6,3
"147 Westminster Ave, Toronto, ON M6R 1N8",$2.26M,https://www.zillow.com/homedetails/147-Westminster-Ave-Toronto-ON-M6R-1N8/2061308239_zpid/,4,2
"66 Roxborough St E #101, Toronto, ON M4W 1V7",$1.64M,https://www.zillow.com/homedetails/66-Roxborough-St-E-101-Toronto-ON-M4W-1V7/2067831476_zpid/,1,1
"701 Shaw St, Toronto, ON M6G 3L8",$2.40M,https://www.zillow.com/homedetails/701-Shaw-St-Toronto-ON-M6G-3L8/2070738855_zpid/,5,5
"24 Forman Ave, Toronto, ON M4S 2R2",$1.65M,https://www.zillow.com/homedetails/24-Forman-Ave-Toronto-ON-M4S-2R2/2061308251_zpid/,--,--
"29 Temple Bar Cres, Toronto, ON M1W 2B4",$1.40M,https://www.zillow.com/homedetails/29-Temple-Bar-Cres-Toronto-ON-M1W-2B4/2061561554_zpid/,4,4
"33 Sandyhook Sq, Toronto, ON M1W 3N6",$1.01M,https://www.zillow.com/homedetails/33-Sandyhook-Sq-Toronto-ON-M1W-3N6/2061324717_zpid/,4,4
"104 Strathallan Blvd, Toronto, ON M5N 1S7",$3.70M,https://www.zillow.com/homedetails/104-Strathallan-Blvd-Toronto-ON-M5N-1S7/2061481775_zpid/,--,--
"23 Pintail Cres, Toronto, ON M3A 2Y6","C$910,000",https://www.zillow.com/homedetails/23-Pintail-Cres-Toronto-ON-M3A-2Y6/2061253795_zpid/,--,--
"33 Welland Ave, Toronto, ON M4T 2H8",$4.05M,https://www.zillow.com/homedetails/33-Welland-Ave-Toronto-ON-M4T-2H8/2061481774_zpid/,--,--
"59 Linnsmore Cres, Toronto, ON M4J 4J9",$1.70M,https://www.zillow.com/homedetails/59-Linnsmore-Cres-Toronto-ON-M4J-4J9/2062594275_zpid/,3,2
"68 Alamosa Dr, Toronto, ON M2J 2N9",$1.70M,https://www.zillow.com/homedetails/68-Alamosa-Dr-Toronto-ON-M2J-2N9/2061248701_zpid/,--,--
"55 De Boers Dr #511, Toronto, ON M3J 0G5",$--,https://www.zillow.com/homedetails/55-De-Boers-Dr-511-Toronto-ON-M3J-0G5/2062492601_zpid/,--,--
"16 Dalbeattie Ave, Toronto, ON M9N 2Y5",$1.17M,https://www.zillow.com/homedetails/16-Dalbeattie-Ave-Toronto-ON-M9N-2Y5/2061303268_zpid/,--,--
"16 Sheffley Cres, Toronto, ON M9R 2W4",$2.00M,https://www.zillow.com/homedetails/16-Sheffley-Cres-Toronto-ON-M9R-2W4/2061456753_zpid/,--,--
"87 Greenwood Ave, Toronto, ON M4L 2P7",$1.41M,https://www.zillow.com/homedetails/87-Greenwood-Ave-Toronto-ON-M4L-2P7/2062334739_zpid/,3,3
"1016 Pharmacy Ave, Toronto, ON M1R 2G9","C$943,000",https://www.zillow.com/homedetails/1016-Pharmacy-Ave-Toronto-ON-M1R-2G9/2061229944_zpid/,--,--
"1101 Steeles Ave W #101, Toronto, ON M2R 3W5","C$626,000",https://www.zillow.com/homedetails/1101-Steeles-Ave-W-101-Toronto-ON-M2R-3W5/2071811638_zpid/,1,1
"15 Mystic Ave, Toronto, ON M1L 4G6",$1.04M,https://www.zillow.com/homedetails/15-Mystic-Ave-Toronto-ON-M1L-4G6/2066521659_zpid/,2,1
"2002 Brimley Rd, Toronto, ON M1S 2B2",$1.72M,https://www.zillow.com/homedetails/2002-Brimley-Rd-Toronto-ON-M1S-2B2/2071883793_zpid/,--,--
"191 Rankin Cres, Toronto, ON M6P 4H8",$1.37M,https://www.zillow.com/homedetails/191-Rankin-Cres-Toronto-ON-M6P-4H8/2061288857_zpid/,--,--
"22 Minho Blvd, Toronto, ON M6G 4B5",$1.62M,https://www.zillow.com/homedetails/22-Minho-Blvd-Toronto-ON-M6G-4B5/2061333828_zpid/,--,--
"38B Summerhill Gdns, Toronto, ON M4T 1B4",$1.61M,https://www.zillow.com/homedetails/38B-Summerhill-Gdns-Toronto-ON-M4T-1B4/2063050018_zpid/,--,--
"831A Millwood Rd, Toronto, ON M4G 1W5",$1.53M,https://www.zillow.com/homedetails/831A-Millwood-Rd-Toronto-ON-M4G-1W5/2061261289_zpid/,--,--
"17 Edith Ave, Toronto, ON M6P 3T5",$1.37M,https://www.zillow.com/homedetails/17-Edith-Ave-Toronto-ON-M6P-3T5/2061303233_zpid/,--,--
"74 Wanita Rd, Toronto, ON M1C 1V4",$1.83M,https://www.zillow.com/homedetails/74-Wanita-Rd-Toronto-ON-M1C-1V4/2061333813_zpid/,--,--
"20 Iangrove Ter, Toronto, ON M1W 2H2",$1.15M,https://www.zillow.com/homedetails/20-Iangrove-Ter-Toronto-ON-M1W-2H2/2061573002_zpid/,--,--
"72 Angus Dr, Toronto, ON M2J 2X1",$1.45M,https://www.zillow.com/homedetails/72-Angus-Dr-Toronto-ON-M2J-2X1/2061602949_zpid/,--,--
"100 Bethany Leigh Dr, Toronto, ON M1V 2N7",$1.08M,https://www.zillow.com/homedetails/100-Bethany-Leigh-Dr-Toronto-ON-M1V-2N7/2061244468_zpid/,3,3
"56 Calverley Trl, Toronto, ON M1C 3R5",$1.13M,https://www.zillow.com/homedetails/56-Calverley-Trl-Toronto-ON-M1C-3R5/2061280260_zpid/,--,--
"650 King St W #407, Toronto, ON M5V 0H6","C$715,000",https://www.zillow.com/homedetails/650-King-St-W-407-Toronto-ON-M5V-0H6/2061573053_zpid/,--,--
"2 Hemford Cres, Toronto, ON M3B 2S5",$1.48M,https://www.zillow.com/homedetails/2-Hemford-Cres-Toronto-ON-M3B-2S5/2065418982_zpid/,--,--
"70 Allen Ave, Toronto, ON M4M 1T4",$1.10M,https://www.zillow.com/homedetails/70-Allen-Ave-Toronto-ON-M4M-1T4/2061308269_zpid/,--,--
"168 Ridgewood Rd, Toronto, ON M1C 2X2",$1.50M,https://www.zillow.com/homedetails/168-Ridgewood-Rd-Toronto-ON-M1C-2X2/2061345480_zpid/,--,--
"84 Stafford St, Toronto, ON M6J 2S1",$1.93M,https://www.zillow.com/homedetails/84-Stafford-St-Toronto-ON-M6J-2S1/2061319346_zpid/,--,--
"15 La Rose Ave #511, Toronto, ON M9P 1A7","C$695,000",https://www.zillow.com/homedetails/15-La-Rose-Ave-511-Toronto-ON-M9P-1A7/2061805289_zpid/,--,--
"33 Gemshaw Cres, Toronto, ON M1B 1L3",$1.03M,https://www.zillow.com/homedetails/33-Gemshaw-Cres-Toronto-ON-M1B-1L3/2063105403_zpid/,--,--
"629 King St W UNIT 917, Toronto, ON M5V 0G9",$1.39M,https://www.zillow.com/homedetails/629-King-St-W-UNIT-917-Toronto-ON-M5V-0G9/2087441623_zpid/,2,3
"20 Gothic Ave E #321, Toronto, ON M6P 1T5","C$590,000",https://www.zillow.com/homedetails/20-Gothic-Ave-E-321-Toronto-ON-M6P-1T5/2062371073_zpid/,--,--
"102 Bellefair Ave, Toronto, ON M4L 3T8",$2.95M,https://www.zillow.com/homedetails/102-Bellefair-Ave-Toronto-ON-M4L-3T8/2062254947_zpid/,--,--
"15 Allingham Gdns, Toronto, ON M3H 1X7",$1.20M,https://www.zillow.com/homedetails/15-Allingham-Gdns-Toronto-ON-M3H-1X7/2063391946_zpid/,--,--
"19 Nortonville Dr, Toronto, ON M1T 2G9",$1.53M,https://www.zillow.com/homedetails/19-Nortonville-Dr-Toronto-ON-M1T-2G9/2066432012_zpid/,4,4
"35 Cedar Brae Blvd, Toronto, ON M1J 2K4",$1.10M,https://www.zillow.com/homedetails/35-Cedar-Brae-Blvd-Toronto-ON-M1J-2K4/2062006173_zpid/,4,4
"16 Elfindale Cres, Toronto, ON M2J 1B5",$1.64M,https://www.zillow.com/homedetails/16-Elfindale-Cres-Toronto-ON-M2J-1B5/2062158628_zpid/,4,3
"72 Tidefall Dr, Toronto, ON M1W 1J2",$1.17M,https://www.zillow.com/homedetails/72-Tidefall-Dr-Toronto-ON-M1W-1J2/2062204070_zpid/,--,--
"268 Belsize Dr, Toronto, ON M4S 1M6",$1.37M,https://www.zillow.com/homedetails/268-Belsize-Dr-Toronto-ON-M4S-1M6/2069565569_zpid/,--,--
"42 Ardgowan Cres, Toronto, ON M1V 1B3","C$900,000",https://www.zillow.com/homedetails/42-Ardgowan-Cres-Toronto-ON-M1V-1B3/2062202900_zpid/,3,3
"5 Applefield Dr, Toronto, ON M1P 3X8","C$999,000",https://www.zillow.com/homedetails/5-Applefield-Dr-Toronto-ON-M1P-3X8/2062598177_zpid/,2,1
"53 Sunnycrest Rd, Toronto, ON M2R 1V4",$1.43M,https://www.zillow.com/homedetails/53-Sunnycrest-Rd-Toronto-ON-M2R-1V4/2071845635_zpid/,--,--
"94 Nettlecreek Cres, Toronto, ON M1V 4K9",$1.31M,https://www.zillow.com/homedetails/94-Nettlecreek-Cres-Toronto-ON-M1V-4K9/2062485962_zpid/,5,4
"1223 Pharmacy Ave, Toronto, ON M1R 2H8","C$831,100",https://www.zillow.com/homedetails/1223-Pharmacy-Ave-Toronto-ON-M1R-2H8/2062054977_zpid/,3,2
"4 Bridgewater Rd, Toronto, ON M9A 2Z3",$3.40M,https://www.zillow.com/homedetails/4-Bridgewater-Rd-Toronto-ON-M9A-2Z3/2062241871_zpid/,--,--
"116 Drayton Ave, Toronto, ON M4C 3L9",$1.13M,https://www.zillow.com/homedetails/116-Drayton-Ave-Toronto-ON-M4C-3L9/2062100873_zpid/,--,--
"33 Ardmore Rd, Toronto, ON M5P 1V8",$3.76M,https://www.zillow.com/homedetails/33-Ardmore-Rd-Toronto-ON-M5P-1V8/2062195176_zpid/,--,--
"32 Enchanted Hills Cres, Toronto, ON M1V 3P2",$1.10M,https://www.zillow.com/homedetails/32-Enchanted-Hills-Cres-Toronto-ON-M1V-3P2/2062736369_zpid/,6,4
"45 Prince Philip Blvd, Toronto, ON M1E 1J4","C$999,900",https://www.zillow.com/homedetails/45-Prince-Philip-Blvd-Toronto-ON-M1E-1J4/2062171912_zpid/,--,--
"37 Lewis St, Toronto, ON M4M 2H2",$1.35M,https://www.zillow.com/homedetails/37-Lewis-St-Toronto-ON-M4M-2H2/2062671893_zpid/,--,--
"7 Minto St, Toronto, ON M4L 1B5","C$999,999",https://www.zillow.com/homedetails/7-Minto-St-Toronto-ON-M4L-1B5/2063141075_zpid/,--,--
"9 Sonneck Sq, Toronto, ON M1E 1A8",$1.40M,https://www.zillow.com/homedetails/9-Sonneck-Sq-Toronto-ON-M1E-1A8/2062192628_zpid/,4,2
"24 Caribou Rd, Toronto, ON M5N 2A3",$4.50M,https://www.zillow.com/homedetails/24-Caribou-Rd-Toronto-ON-M5N-2A3/2062219042_zpid/,7,4
"8 Eastlea Cres, Toronto, ON M1T 3A6",$1.10M,https://www.zillow.com/homedetails/8-Eastlea-Cres-Toronto-ON-M1T-3A6/2062228910_zpid/,3,3
"166 Gristone Cres, Toronto, ON M1X 1T4","C$800,000",https://www.zillow.com/homedetails/166-Gristone-Cres-Toronto-ON-M1X-1T4/2062216868_zpid/,3,3
"56 Greybeaver Trl, Toronto, ON M1C 4N6",$1.10M,https://www.zillow.com/homedetails/56-Greybeaver-Trl-Toronto-ON-M1C-4N6/2062248646_zpid/,--,--
"25 Muirdale Ave, Toronto, ON M9R 2V3",$1.61M,https://www.zillow.com/homedetails/25-Muirdale-Ave-Toronto-ON-M9R-2V3/2062228605_zpid/,--,--
"219 Richview Ave, Toronto, ON M5P 3G2",$3.45M,https://www.zillow.com/homedetails/219-Richview-Ave-Toronto-ON-M5P-3G2/2062228627_zpid/,5,6
"38 Noranda Dr, Toronto, ON M6M 2X9",$1.63M,https://www.zillow.com/homedetails/38-Noranda-Dr-Toronto-ON-M6M-2X9/2062144956_zpid/,--,--
"53 Challenger Ct, Toronto, ON M1C 4Z4",$1.49M,https://www.zillow.com/homedetails/53-Challenger-Ct-Toronto-ON-M1C-4Z4/2062211644_zpid/,--,--
"80 Crayford Dr, Toronto, ON M1W 3B6",$1.19M,https://www.zillow.com/homedetails/80-Crayford-Dr-Toronto-ON-M1W-3B6/2062241908_zpid/,--,--
"74 Brentcliffe Rd, Toronto, ON M4G 3Y6",$1.89M,https://www.zillow.com/homedetails/74-Brentcliffe-Rd-Toronto-ON-M4G-3Y6/2062350203_zpid/,--,--
"6 Tripp Cres, Toronto, ON M1P 1B5",$1.03M,https://www.zillow.com/homedetails/6-Tripp-Cres-Toronto-ON-M1P-1B5/2062267621_zpid/,--,--
"196 Lawrence Ave W, Toronto, ON M5M 1A8",$1.23M,https://www.zillow.com/homedetails/196-Lawrence-Ave-W-Toronto-ON-M5M-1A8/2062539387_zpid/,3,3
"1128 Woodbine Ave, Toronto, ON M4C 4C8",$1.02M,https://www.zillow.com/homedetails/1128-Woodbine-Ave-Toronto-ON-M4C-4C8/2062171909_zpid/,--,--
"20 Snowberry Ave, Toronto, ON M9N 3G4",$1.04M,https://www.zillow.com/homedetails/20-Snowberry-Ave-Toronto-ON-M9N-3G4/2062170759_zpid/,3,2
"16 Alderbrook Dr, Toronto, ON M3B 1E4",$3.80M,https://www.zillow.com/homedetails/16-Alderbrook-Dr-Toronto-ON-M3B-1E4/2062241905_zpid/,--,--
"7 Stainforth Dr, Toronto, ON M1S 1L9",$1.35M,https://www.zillow.com/homedetails/7-Stainforth-Dr-Toronto-ON-M1S-1L9/2062100870_zpid/,--,--
"268 Saint Germain Ave, Toronto, ON M5M 1W3",$1.90M,https://www.zillow.com/homedetails/268-Saint-Germain-Ave-Toronto-ON-M5M-1W3/2062386364_zpid/,4,2
"39 Hillfarm Dr, Toronto, ON M1V 3C6",$1.39M,https://www.zillow.com/homedetails/39-Hillfarm-Dr-Toronto-ON-M1V-3C6/2062204051_zpid/,--,--
"7 Weetwood St, Toronto, ON M5M 4C9",$3.20M,https://www.zillow.com/homedetails/7-Weetwood-St-Toronto-ON-M5M-4C9/2063373854_zpid/,--,--
"5 Astoria Ave, Toronto, ON M6N 2V5","C$715,000",https://www.zillow.com/homedetails/5-Astoria-Ave-Toronto-ON-M6N-2V5/2062171889_zpid/,3,1
"180 Holborne Ave, Toronto, ON M4C 2R8",$1.35M,https://www.zillow.com/homedetails/180-Holborne-Ave-Toronto-ON-M4C-2R8/2071828801_zpid/,4,4
"21 Gardentree St, Toronto, ON M1E 2E8","C$850,000",https://www.zillow.com/homedetails/21-Gardentree-St-Toronto-ON-M1E-2E8/2062242594_zpid/,3,2
