address,price,link,bedrooms,bathrooms,cleaned_address,Latitude,Longitude
"46 McGrath Ct, Toronto, ON M1C 3B5",$1.26M,https://www.zillow.com/homedetails/46-McGrath-Ct-Toronto-ON-M1C-3B5/2059035132_zpid/,4,3,"46 Mcgrath Ct, ON",43.78714404,-79.14820116
"4 Ashfield Dr, Toronto, ON M9C 4T5",$1.20M,https://www.zillow.com/homedetails/4-Ashfield-Dr-Toronto-ON-M9C-4T5/2058454484_zpid/,--,--,"4 Ashfield Dr, ON",43.6686807,-79.5813952
"9 McNicoll Ave, Toronto, ON M2H 2A6",$1.68M,https://www.zillow.com/homedetails/9-McNicoll-Ave-Toronto-ON-M2H-2A6/2058415023_zpid/,--,--,"9 Mcnicoll Ave, ON",43.8018007,-79.369397
"39 Portsmouth Dr, Toronto, ON M1C 5C9",$1.15M,https://www.zillow.com/homedetails/39-Portsmouth-Dr-Toronto-ON-M1C-5C9/2058420542_zpid/,--,--,"39 Portsmouth Dr, ON",43.77562339,-79.14207422
"36 Kentish Cres, Toronto, ON M1S 2Z4",$1.40M,https://www.zillow.com/homedetails/36-Kentish-Cres-Toronto-ON-M1S-2Z4/2058450762_zpid/,2,1,"36 Kentish Cres, ON",43.78874978,-79.25076318
"101 Golfview Ave, Toronto, ON M4E 2K3",$1.43M,https://www.zillow.com/homedetails/101-Golfview-Ave-Toronto-ON-M4E-2K3/2058451831_zpid/,--,--,"101 Golfview Ave, ON",43.6792065,-79.307442
"455 Front St E #S316, Toronto, ON M5A 0G2","C$560,000",https://www.zillow.com/homedetails/455-Front-St-E-S316-Toronto-ON-M5A-0G2/2060697441_zpid/,1,1,"455 Front St E. , ON",43.652873,-79.356605
"125 Maplewood Ave, Toronto, ON M6C 1J7",$2.31M,https://www.zillow.com/homedetails/125-Maplewood-Ave-Toronto-ON-M6C-1J7/2058450081_zpid/,--,--,"125 Maplewood Ave, ON",44.9598993,-75.6834337
"53 Amberjack Blvd, Toronto, ON M1H 2J4",$1.19M,https://www.zillow.com/homedetails/53-Amberjack-Blvd-Toronto-ON-M1H-2J4/2060844830_zpid/,--,--,"53 Amberjack Blvd, ON",43.769226,-79.23569743
"170 Manse Rd, Toronto, ON M1E 3V1",$1.42M,https://www.zillow.com/homedetails/170-Manse-Rd-Toronto-ON-M1E-3V1/2058474833_zpid/,--,--,"170 Manse Rd, ON",43.76411699,-79.17370675
"20 Blue Jays Way #606, Toronto, ON M5V 3W6","C$875,000",https://www.zillow.com/homedetails/20-Blue-Jays-Way-606-Toronto-ON-M5V-3W6/2060697689_zpid/,--,--,"20 Blue Jays Way , ON",43.64303801,-79.39108031
"575 Bloor St E #3402, Toronto, ON M4W 0B2",$1.35M,https://www.zillow.com/homedetails/575-Bloor-St-E-3402-Toronto-ON-M4W-0B2/2060332815_zpid/,--,--,"575 Bloor St E. , ON",43.67108041,-79.38292919
"57 Saint Joseph St #2004, Toronto, ON M5S 0C5","C$545,000",https://www.zillow.com/homedetails/57-Saint-Joseph-St-2004-Toronto-ON-M5S-0C5/2060329412_zpid/,--,--,"57 Saint Joseph St , ON",39.34176171,-85.20482447
"251 Manitoba St #1123, Toronto, ON M8Y 0C7",$--,https://www.zillow.com/homedetails/251-Manitoba-St-1123-Toronto-ON-M8Y-0C7/2065558676_zpid/,--,--,"251 Manitoba St , ON",43.6241538,-79.4878569
